<<<<<<< HEAD
name,business_vintage_years,business_type,city_tier,annual_revenue,net_profit_margin,cashflow_stability,owner_income,owner_cibil,past_defaults,existing_loan_emi,dti,industry_risk,collateral_value,collateral_flag,requested_amount,loan_tenure_years,loan_status,approved_amount,interest_rate
Amit Singh,6,Retail,Metro,12263058,0.039,0.915,127472,758,0,4049,0.032,0.992,21600946,1,3397568,10,1,2566343,15.42
Shruti Jain,3,Retail,Metro,36546709,0.059,0.831,60929,651,0,17828,0.293,0.59,49018437,1,8759472,1,1,7583342,13.11
Rohan Reddy,12,Service,Metro,18705265,0.059,0.321,58862,818,0,4413,0.075,0.966,3375127,1,3727750,3,1,2665778,15.75
Sarthak Khan,14,Manufacturing,Metro,31799139,0.234,0.449,106335,651,0,36502,0.343,0.168,25935050,1,6790171,3,1,5692110,12.12
Yash Yadav,10,Service,Urban,31859721,0.266,0.399,109489,738,0,35871,0.328,0.429,8968234,1,8674828,3,1,6750531,13.51
Amit Yadav,7,Service,Rural,27020847,0.213,0.795,56928,675,0,12315,0.216,0.303,48533827,1,5261005,10,1,4589328,12.19
Priya Singh,12,IT,Metro,4969344,0.338,0.227,59495,716,0,16902,0.284,0.276,5665175,1,1034110,4,1,738083,13.69
Ritika Yadav,4,Trading,Metro,41847474,0.144,0.656,62955,740,0,7916,0.126,0.227,20180050,1,3729413,4,1,3260938,11.94
Vivek Khan,6,Service,Metro,16378613,0.114,0.81,36389,739,1,6858,0.188,0.66,36894249,1,2759474,7,0,0,
Kiran Khan,9,Retail,Metro,9732666,0.307,0.901,47034,745,0,15458,0.329,0.803,35227721,1,2229747,3,0,0,
Kunal Yadav,2,Retail,Urban,2518370,0.094,0.474,44896,817,0,8248,0.184,0.62,21136432,1,296502,4,1,218521,14.49
Priya Yadav,6,Manufacturing,Urban,29749201,0.338,0.857,50805,747,0,7271,0.143,0.232,17326208,1,2991685,4,1,2596361,12.02
Rahul Patel,10,Manufacturing,Metro,34039436,0.024,0.289,69133,705,0,13667,0.198,0.83,19880619,1,4372594,5,0,0,
Sana Patel,10,Retail,Metro,1321098,0.34,0.877,75855,778,0,25131,0.331,0.672,13213813,1,145816,10,1,107869,14.62
Sarthak Reddy,7,Retail,Metro,25848606,0.034,0.302,108763,791,0,14583,0.134,0.449,10266647,1,2681228,7,1,2107657,13.49
Yash Singh,4,MSME,Rural,11711541,0.314,0.518,45041,646,0,3131,0.07,0.707,24151985,1,1829492,4,0,0,
Yash Jain,3,Service,Rural,32436053,0.194,0.838,94608,756,0,26945,0.285,0.334,13426688,1,8983477,7,1,7798076,12.32
Shruti Verma,7,Retail,Metro,9131138,0.348,0.32,64650,762,0,21360,0.33,0.411,14373083,1,1614065,3,0,0,
Sarthak Patel,7,Service,Metro,34701418,0.044,0.383,68763,702,0,2768,0.04,0.926,32837803,1,3365347,1,1,2516243,15.3
Kunal Gupta,2,Manufacturing,Rural,19643400,0.203,0.778,86870,803,0,8335,0.096,0.361,48426867,1,1360166,3,1,1064369,13.26
Amit Reddy,5,Service,Rural,46868134,0.34,0.776,41932,711,0,2381,0.057,0.523,30181860,1,10500292,3,1,8788029,13.2
Amit Yadav,4,Service,Metro,7307287,0.193,0.713,79560,728,0,11073,0.139,0.901,3848973,1,1064669,4,0,0,
Sarthak Sharma,1,Service,Metro,17382784,0.228,0.755,74161,710,0,13359,0.18,0.737,3779181,1,4440567,5,1,3346201,14.68
Aaditya Patel,7,Service,Metro,6116939,0.25,0.634,82311,721,0,24655,0.3,0.156,47571161,1,1314394,10,0,0,
Anjali Reddy,11,MSME,Urban,46272334,0.17,0.401,77229,654,0,20115,0.26,0.233,14864540,1,11524604,4,1,9402900,12.54
Vivek Sharma,13,Trading,Metro,43928298,0.227,0.477,131383,634,0,32632,0.248,0.107,4603349,1,5182947,4,1,4372686,11.88
Sarthak Gupta,5,Service,Metro,13268111,0.213,0.345,54057,816,0,7619,0.141,0.668,29952229,1,2959979,2,0,0,
Sarthak Verma,1,Service,Urban,33169210,0.317,0.927,56725,669,0,19092,0.337,0.503,31182439,1,3848142,1,1,3228260,13.12
Vivek Jain,11,Service,Metro,40952499,0.035,0.667,54421,661,1,10259,0.189,0.221,32425241,1,11661925,5,0,0,
Sana Singh,4,Retail,Urban,27982440,0.113,0.521,56113,591,0,21976,0.392,0.962,13370101,1,5850948,4,1,4017291,16.02
Suresh Kapoor,0,Retail,Metro,26717704,0.334,0.57,54065,682,0,13714,0.254,0.577,755534,1,3503438,7,1,2878991,13.51
Vivek Sharma,11,Manufacturing,Metro,12471688,0.314,0.958,99725,641,0,5037,0.051,0.318,48250768,1,1463901,3,1,1261116,12.34
Neha Singh,9,Service,Urban,5108587,0.17,0.323,105513,819,0,28538,0.27,0.551,12544652,1,499271,1,0,0,
Mohit Yadav,5,Service,Metro,44912180,0.225,0.669,55731,781,0,7247,0.13,0.712,33801314,1,10045069,4,1,8411281,13.76
Sana Reddy,12,Retail,Rural,45070694,0.112,0.605,49191,679,0,13504,0.275,0.169,35331493,1,4717951,3,1,4017858,11.99
Kunal Khan,11,MSME,Urban,31838522,0.082,0.689,81785,855,0,2278,0.028,0.347,30500371,1,6330320,1,1,5367009,12.56
Vivek Khan,8,MSME,Metro,17281975,0.173,0.214,56194,779,0,3931,0.07,0.826,15645370,1,2007453,5,0,0,
Neha Gupta,0,IT,Urban,17785874,0.137,0.898,85823,701,0,29377,0.342,0.514,13554813,1,3832718,2,1,2944891,13.86
Yash Yadav,10,Service,Metro,36434806,0.213,0.946,75073,570,0,6822,0.091,0.592,29883414,1,9244783,5,1,8404463,12.68
