name,age,academic_score,entrance_score,course_level,course_stream,institute_tier,country,parent_income,parent_existing_emi,parent_dti,parent_cibil,tuition_fee,living_expenses,down_payment,loan_amount_requested,tenure_years,moratorium_years,loan_status,approved_amount,interest_rate
Aaditya Gupta,23.0,75.35,405.0,UG,Law,Tier3,India,14940.0,3104.0,0.208,748.0,583269.0,176765.0,23703.0,736331.0,9.797101449275363,2.0,1.0,533657.0,12.75
Meera Gupta,,83.52,590.0,PG,Law,Tier2,India,43837.0,3593.0,0.082,771.0,1384480.0,96980.0,96142.0,1385318.0,9.797101449275363,1.0,1.0,,12.33
Kunal Reddy,,71.49,552.3731884057971,PhD,Other,Tier2,India,8000.0,2809.0,0.20041666666666666,830.0,506706.0,69243.0,132008.0,443941.0,,1.644927536231884,1.0,321996.0,12.75
Rohan Patel,24.0,65.43,569.0,PG,Arts,,UK,67332.0,23690.0,0.352,675.0,4216367.0,708494.0,1171893.0,3752968.0,5.0,1.644927536231884,0.0,0.0,12.316354679802958
Shruti Yadav,23.0,94.36,530.0,PG,Arts,Tier2,India,67082.0,,0.348,663.0,1346198.0,293180.00724637683,169470.0,1322428.0,10.0,2.0,0.0,0.0,12.316354679802958
Neha Yadav,27.0,89.36,592.0,UG,Arts,Tier3,India,40168.0,3837.0,0.096,654.0,1090810.0,255458.0,16566.0,1329702.0,12.0,2.0,1.0,1055866.0,12.06
Sarthak Verma,27.0,90.11,500.0,Diploma,Medical,Tier2,India,73503.0,13267.0,0.20041666666666666,704.0,187085.0,293180.00724637683,2211.0,399752.0,15.0,1.644927536231884,1.0,319568.0,12.316354679802958
Kiran Patel,20.0,68.76,,PG,Arts,Tier3,India,27938.0,11007.0,,806.0,306224.0,249060.0,52727.0,502557.0,15.0,0.0,0.0,0.0,12.316354679802958
Amit Singh,24.0,77.8241304347826,390.0,PG,Management,Tier1,India,35837.0,11067.0,0.309,752.0,110978.0,117987.0,13081.0,215884.0,5.0,1.644927536231884,1.0,154568.0,12.84
,19.0,70.61,648.0,Diploma,Engineering,ForeignOther,Canad,70430.0,765.0,,749.0,4195701.0,360292.0,36065.0,4519928.0,10.0,1.0,1.0,3603548.0,12.03
