name,age,gender,city_tier,employment_type,monthly_income,existing_emi,dti,cibil_score,gold_weight_grams,gold_purity_karat,gold_value_estimated,ltv_ratio,loan_amount_requested,tenure_months,loan_status,approved_amount,interest_rate
Suresh Verma,59,Male,Urban,Salaried,13943.0,2273.0,0.163,705.0,158.46,22,798902.0,0.78,623144.0,6,1,530898.0,10.84
Rohan Verma,49,Male,Metro,Salaried,33513.0,2615.0,0.078,733.0,26.83,22,135268.0,0.76,102804.0,6,1,91125.0,10.63
Shruti Reddy,35,Female,Urban,Farmer,20217.0,2017.0,0.1,707.0,74.41,22,375150.0,0.8,300120.0,12,1,257144.0,10.75
Vivek Khan,63,Male,Metro,Business Owner,36743.0,7881.0,0.214,743.0,195.72,18,807345.0,0.79,637803.0,6,1,538431.0,10.88
Vivek Patel,28,Female,Urban,Business Owner,37832.0,85.0,0.002,582.0,159.83,22,805810.0,0.61,491544.0,6,1,412316.0,11.46
Mohit Kapoor,41,Female,Metro,Self-Employed,37792.0,5559.0,0.147,687.0,101.96,24,560780.0,0.7,392546.0,12,1,328351.0,11.21
Suresh Gupta,59,Female,Metro,Business Owner,29239.0,4376.0,0.15,639.0,71.26,24,391930.0,0.83,325302.0,12,1,277938.0,10.67
Yash Verma,39,Female,Urban,Salaried,62582.0,6206.0,0.099,718.0,175.07,20,802404.0,0.63,505515.0,9,1,407825.0,11.66
Shruti Khan,43,Female,Urban,Business Owner,19784.0,1172.0,0.059,717.0,111.25,22,560885.0,0.78,437490.0,9,1,376538.0,10.77
Mohit Gupta,31,Male,Metro,Self-Employed,19050.0,1118.0,0.059,693.0,152.89,24,840895.0,0.84,706352.0,6,1,617193.0,10.49
Sarthak Sharma,31,Male,Rural,Farmer,54860.0,12120.0,0.221,731.0,152.05,18,627206.0,0.61,382596.0,9,1,319918.0,11.48
Vivek Jain,44,Female,Metro,Business Owner,26549.0,2934.0,0.111,760.0,8.5,22,42854.0,0.77,32998.0,9,1,28956.0,10.67
Rohan Reddy,56,Female,Metro,Farmer,23664.0,1958.0,0.083,696.0,29.62,24,162910.0,0.72,117295.0,9,1,103021.0,10.81
Kabir Patel,60,Male,Rural,Self-Employed,62635.0,7027.0,0.112,637.0,133.63,22,673718.0,0.74,498551.0,24,1,409883.0,11.2
Rahul Kapoor,44,Male,Urban,Self-Employed,46829.0,7837.0,0.167,605.0,36.52,18,150645.0,0.62,93400.0,3,0,0.0,
Kiran Khan,23,Female,Metro,Business Owner,27866.0,1015.0,0.036,702.0,54.82,22,276384.0,0.61,168594.0,12,1,140795.0,11.49
Meera Verma,42,Male,Urban,Salaried,37610.0,4226.0,0.112,715.0,189.59,24,1042745.0,0.77,802914.0,6,1,692680.0,10.79
Kabir Yadav,22,Female,Urban,Business Owner,58350.0,8576.0,0.147,642.0,114.24,22,575960.0,0.81,466528.0,12,1,364202.0,11.32
Ritika Khan,44,Male,Urban,Farmer,43299.0,10268.0,0.237,744.0,151.39,20,693871.0,0.8,555097.0,12,1,480026.0,10.68
Mohit Yadav,64,Female,Metro,Salaried,50434.0,3184.0,0.063,672.0,113.81,22,573792.0,0.74,424606.0,18,1,356406.0,11.06
Sana Sharma,50,Male,Metro,Farmer,44658.0,4011.0,0.09,601.0,112.74,22,568398.0,0.62,352407.0,3,1,282440.0,11.73
Anjali Yadav,58,Female,Urban,Self-Employed,46163.0,4378.0,0.095,775.0,23.36,22,117773.0,0.77,90685.0,9,1,72466.0,11.3
Yash Sharma,22,Male,Rural,Farmer,35477.0,5371.0,0.151,769.0,72.01,22,363050.0,0.66,239613.0,9,1,203387.0,11.23
Ravi Sharma,41,Male,Urban,Farmer,35136.0,3134.0,0.089,579.0,60.07,18,247789.0,0.83,205665.0,12,1,162709.0,11.18
Kunal Yadav,53,Female,Metro,Salaried,38205.0,5096.0,0.133,666.0,81.19,24,446545.0,0.81,361701.0,9,1,297056.0,11.0
Rohan Singh,32,Male,Urban,Self-Employed,43813.0,8563.0,0.195,664.0,160.68,18,662805.0,0.78,516988.0,9,0,0.0,
Kabir Sharma,42,Female,Urban,Business Owner,31600.0,5573.0,0.176,798.0,77.53,22,390880.0,0.84,328339.0,9,0,0.0,
Kiran Singh,64,Male,Metro,Salaried,36465.0,4069.0,0.112,694.0,93.08,18,383955.0,0.61,234213.0,6,1,186631.0,11.8
Vivek Jain,45,Female,Metro,Self-Employed,31276.0,6757.0,0.216,610.0,82.49,22,415887.0,0.78,324392.0,9,1,267228.0,11.07
Kiran Singh,47,Male,Urban,Salaried,36388.0,5077.0,0.14,753.0,23.21,22,117017.0,0.68,79572.0,6,1,65974.0,11.33
Sana Patel,62,Female,Urban,Self-Employed,19988.0,2698.0,0.135,626.0,91.01,22,458842.0,0.83,380839.0,24,1,315315.0,10.89
Kabir Reddy,48,Male,Metro,Self-Employed,66272.0,566.0,0.009,684.0,43.14,20,197725.0,0.67,132476.0,12,1,114230.0,11.09
Sana Jain,36,Female,Metro,Self-Employed,26205.0,6464.0,0.247,654.0,41.41,22,208775.0,0.78,162844.0,24,1,132957.0,11.13
Rohan Sharma,35,Male,Metro,Salaried,30662.0,943.0,0.031,666.0,23.34,18,96278.0,0.82,78948.0,6,0,0.0,
Sarthak Yadav,64,Female,Metro,Farmer,25169.0,1454.0,0.058,756.0,74.55,22,375856.0,0.61,229272.0,18,1,197311.0,11.29
Rahul Singh,23,Female,Rural,Salaried,42389.0,548.0,0.013,791.0,152.71,24,839905.0,0.7,587934.0,18,1,518352.0,10.85
Kabir Singh,57,Female,Rural,Salaried,32648.0,5224.0,0.16,624.0,58.91,22,297005.0,0.79,234634.0,12,1,191792.0,11.09
Kiran Reddy,27,Male,Metro,Salaried,23434.0,1316.0,0.056,738.0,65.91,22,332296.0,0.71,235930.0,12,1,198110.0,11.15
Meera Gupta,41,Female,Rural,Salaried,42883.0,1930.0,0.045,656.0,130.32,22,657030.0,0.67,440210.0,6,1,368173.0,11.3
Sana Khan,29,Male,Urban,Self-Employed,44500.0,985.0,0.022,658.0,43.19,18,178159.0,0.65,115803.0,18,1,93391.0,11.6
Priya Yadav,59,Female,Urban,Self-Employed,34197.0,883.0,0.026,729.0,179.91,22,907046.0,0.63,571439.0,9,1,508230.0,10.99
Kabir Patel,38,Male,Urban,Farmer,27036.0,3952.0,0.146,638.0,106.44,22,536635.0,0.81,434674.0,3,1,367413.0,10.81
Amit Jain,24,Female,Metro,Salaried,61293.0,10546.0,0.172,728.0,92.28,22,465245.0,0.74,344281.0,6,1,277168.0,11.34
Mohit Reddy,45,Male,Metro,Business Owner,39081.0,3882.0,0.099,744.0,113.77,20,521446.0,0.62,323297.0,24,1,259070.0,11.73
Yash Yadav,34,Male,Urban,Farmer,19711.0,2365.0,0.12,674.0,37.38,24,205590.0,0.7,143913.0,18,1,120633.0,11.19
Priya Khan,29,Female,Urban,Self-Employed,51968.0,8912.0,0.171,780.0,124.63,22,628343.0,0.69,433557.0,24,1,365099.0,11.19
Aaditya Patel,46,Male,Metro,Business Owner,24731.0,107.0,0.004,624.0,75.8,24,416900.0,0.65,270985.0,12,0,0.0,
Sana Gupta,22,Male,Rural,Business Owner,67903.0,5485.0,0.081,781.0,179.95,22,907248.0,0.71,644146.0,6,1,565890.0,10.84
Sana Patel,40,Female,Urban,Salaried,35956.0,8747.0,0.243,583.0,37.93,22,191230.0,0.68,130036.0,6,1,104409.0,11.54
