name,age,city_tier,employment_type,monthly_income,co_applicant_income,existing_emi,dti,cibil_score,property_value,down_payment,loan_amount_requested,ltv,property_age,builder_grade,legal_issue_flag,tenure_years,job_tenure_months,loan_status,approved_amount,interest_rate
Meera Yadav,34.0,Metro,Salaried,69934.0,17565.0,5611.0,0.08,818.0,7213630.0,2424292.0,4789338.0,0.664,35.0,A,0.0,,22.0,0.0,0.0,
Vivek Kapoor,25.0,Rural,Salaried,57235.0,21597.0,14468.0,0.253,690.0,13684274.0,2663262.0,11021012.0,0.805,36.0,B,0.0,,12.0,0.0,0.0,
Rahul Gupta,,Metro,,72954.0,41209.0,18385.0,0.252,789.0,16349073.0,,11339056.0,0.694,21.0,B,0.0,20.0,,1.0,9118200.0,12.04
Yash Reddy,35.0,Metro,Self-Employed,90461.0,39156.0,20300.0,0.224,729.0,15483418.0,3581019.0,11902399.0,0.769,11.0,B,1.0,20.0,,0.0,0.0,
Kunal Reddy,35.0,Urban,Salaried,55317.0,29686.0,13436.0,0.243,738.0,16158459.0,2850371.0,13308088.0,0.824,,B,0.0,30.0,47.0,0.0,0.0,
,58.0,Urban,Salaried,,31760.0,10508.0,0.19,774.0,9276083.0,3267607.0,6008476.0,0.648,10.0,A,0.0,20.0,73.0,0.0,0.0,
Priya Gupta,38.0,Metro,Salaried,91584.0,49165.0,8071.0,0.088,684.0,16538850.0,,14694307.0,0.888,,B,0.0,25.0,,0.0,0.0,
Rahul Verma,31.0,Metro,,75349.0,21126.0,9117.0,0.121,759.0,3283972.0,1216806.0,2067166.0,0.629,7.0,A,0.0,20.0,8.0,1.0,1659034.0,11.86
Suresh Kapoor,33.0,,Salaried,50611.0,38206.0,3217.0,0.064,748.0,11345293.0,2705208.0,8640085.0,0.762,39.0,B,0.0,25.0,,0.0,0.0,
,44.0,Metro,Salaried,70851.0,26967.0,22528.0,0.318,765.0,1109415.0,,786397.0,0.709,39.0,A,0.0,25.0,49.0,0.0,0.0,
Sarthak Reddy,37.0,Metro,Salaried,50732.0,26735.0,10359.0,0.204,754.0,7167131.0,2134416.0,5032715.0,0.702,1.0,B,0.0,15.0,24.0,0.0,0.0,
Aaditya Gupta,26.0,Metro,Govt,50685.0,46482.0,7111.0,0.14,863.0,7962769.0,2934562.0,5028207.0,0.631,29.0,C,0.0,20.0,54.0,1.0,4169067.0,11.6
Meera Reddy,42.0,Metro,Salaried,64839.0,42381.0,10485.0,0.162,708.0,8527281.0,2481446.0,6045835.0,0.709,29.0,C,0.0,15.0,14.0,0.0,0.0,
Sarthak Khan,31.0,Metro,Salaried,21734.0,42203.0,7206.0,0.332,713.0,14213877.0,4039301.0,10174576.0,0.716,11.0,B,,25.0,20.0,0.0,0.0,
Neha Verma,49.0,Urban,Salaried,25502.0,49582.0,1369.0,0.054,709.0,8382604.0,1005876.0,7376728.0,0.88,9.0,B,0.0,20.0,120.0,0.0,0.0,
Ritika Sharma,44.0,Rural,,48754.0,30315.0,10003.0,0.205,712.0,9525179.0,2433897.0,,0.744,10.0,B,0.0,30.0,16.0,0.0,0.0,
Ravi Gupta,33.0,Urban,Salaried,39743.0,40229.0,7037.0,,708.0,5513338.0,799714.0,4713624.0,0.855,14.0,B,0.0,10.0,30.0,0.0,0.0,
Ravi Gupta,45.0,Metro,Self-Employed,66285.0,25346.0,14186.0,0.214,799.0,8091784.0,2599325.0,5492459.0,0.679,15.0,C,0.0,25.0,106.0,1.0,4114558.0,12.55
Amit Jain,36.0,Metro,Salaried,41840.0,34862.0,265.0,0.006,811.0,5318123.0,1349030.0,3969093.0,0.746,16.0,A,0.0,25.0,,1.0,3152779.0,12.29
Sana Singh,42.0,Rural,Salaried,31754.0,28048.0,9693.0,0.305,711.0,2390723.0,726943.0,1663780.0,0.696,25.0,C,0.0,25.0,3.0,0.0,0.0,
Rohan Patel,39.0,Metro,Govt,89313.0,31455.0,29138.0,0.326,698.0,12465523.0,1402395.0,11063128.0,0.887,1.0,C,0.0,,8.0,0.0,0.0,
Vivek Yadav,30.0,Metro,Govt,55484.0,38927.0,10975.0,0.198,764.0,13696043.0,1717999.0,11978044.0,0.875,11.0,B,0.0,20.0,1.0,0.0,0.0,
Mohit Reddy,31.0,Urban,Self-Employed,61351.0,17727.0,14959.0,0.244,712.0,12770317.0,4021335.0,8748982.0,0.685,25.0,A,0.0,,48.0,0.0,0.0,
Vivek Verma,43.0,Urban,Salaried,31505.0,61386.0,10172.0,0.323,772.0,9806387.0,,8613682.0,0.878,22.0,A,,15.0,,0.0,,
Suresh Verma,34.0,Urban,Self-Employed,49112.0,14910.0,12157.0,0.248,750.0,8215930.0,997225.0,7218705.0,0.879,17.0,C,0.0,15.0,7.0,1.0,5417519.0,13.13
Kiran Sharma,33.0,Metro,Salaried,62218.0,11787.0,3322.0,0.053,664.0,17403339.0,1803552.0,15599787.0,0.896,31.0,,0.0,20.0,152.0,0.0,0.0,
Vivek Gupta,29.0,Metro,Salaried,36980.0,47372.0,,0.202,817.0,10862554.0,4203270.0,6659284.0,0.613,37.0,C,0.0,20.0,36.0,0.0,0.0,
Rohan Gupta,39.0,Rural,Salaried,,41875.0,14337.0,0.212,830.0,10104456.0,3246082.0,6858374.0,0.679,,A,0.0,15.0,13.0,1.0,5413796.0,12.14
Anjali Khan,50.0,Metro,Salaried,47987.0,39362.0,7123.0,,709.0,1487199.0,,1180873.0,0.794,37.0,A,0.0,15.0,,0.0,0.0,
Shruti Reddy,29.0,Urban,Salaried,54166.0,39425.0,13962.0,0.258,721.0,7483709.0,1414127.0,6069582.0,0.811,2.0,,0.0,15.0,55.0,1.0,4484519.0,13.04
Vivek Khan,36.0,,Salaried,47966.0,29816.0,15686.0,0.327,754.0,8223717.0,1685130.0,6538587.0,0.795,29.0,,0.0,25.0,4.0,1.0,4842411.0,12.98
Rahul Sharma,46.0,Urban,Govt,97046.0,16541.0,31438.0,0.324,757.0,8577633.0,,5726462.0,0.668,0.0,B,0.0,25.0,15.0,1.0,4311574.0,12.47
Priya Sharma,35.0,Metro,Govt,59730.0,31137.0,9425.0,0.158,,12023275.0,3587880.0,8435395.0,0.702,29.0,B,0.0,,79.0,1.0,6329244.0,12.6
Shruti Patel,39.0,Metro,Self-Employed,38846.0,19843.0,1540.0,0.04,841.0,,1732682.0,,0.844,31.0,A,,30.0,30.0,1.0,,12.54
Kiran Jain,29.0,Urban,Salaried,76451.0,44627.0,26352.0,0.345,731.0,12550197.0,1910552.0,10639645.0,,27.0,B,0.0,,38.0,1.0,8009936.0,13.02
Shruti Gupta,39.0,Rural,Govt,35583.0,,,0.294,700.0,15532782.0,,13520996.0,0.87,20.0,A,0.0,10.0,,1.0,9428720.0,13.64
Vivek Kapoor,35.0,,Salaried,64177.0,17618.0,2800.0,0.044,671.0,16446729.0,4902619.0,11544110.0,0.702,12.0,C,0.0,10.0,2.0,0.0,0.0,
Mohit Patel,43.0,Metro,Self-Employed,20807.0,25179.0,6706.0,0.322,703.0,14644338.0,4822553.0,9821785.0,0.671,26.0,C,0.0,15.0,9.0,0.0,0.0,
Kabir Reddy,44.0,Metro,Salaried,33436.0,36194.0,10180.0,0.304,738.0,19154950.0,3438580.0,,0.82,35.0,A,0.0,30.0,28.0,0.0,0.0,
Vivek Yadav,54.0,,Self-Employed,63937.0,21544.0,11611.0,,830.0,1346419.0,143102.0,1203317.0,0.894,6.0,B,0.0,20.0,11.0,1.0,926057.0,12.99
Kunal Khan,40.0,Urban,Salaried,74769.0,17667.0,15473.0,0.207,714.0,4719782.0,588328.0,4131454.0,0.875,21.0,B,0.0,15.0,,1.0,2928717.0,13.54
Rohan Reddy,38.0,Rural,Govt,63427.0,,8858.0,0.14,751.0,1143695.0,446451.0,697244.0,0.61,9.0,A,0.0,20.0,89.0,1.0,557690.0,11.83
Anjali Yadav,37.0,Metro,Govt,57687.0,,1106.0,0.019,739.0,13302020.0,2509206.0,10792814.0,0.811,,C,,20.0,191.0,1.0,8668178.0,12.4
Neha Singh,34.0,Urban,Salaried,53978.0,22396.0,6333.0,0.117,799.0,18062580.0,5974504.0,12088076.0,0.669,14.0,,0.0,25.0,76.0,1.0,9487331.0,12.16
Vivek Reddy,38.0,Urban,,30430.0,22934.0,8551.0,0.281,,5626164.0,1616954.0,4009210.0,0.713,14.0,A,0.0,15.0,92.0,0.0,0.0,
,34.0,Urban,Govt,45603.0,33481.0,74.0,0.002,713.0,18613656.0,3994154.0,14619502.0,0.785,3.0,B,0.0,30.0,13.0,1.0,11419683.0,12.54
Amit Singh,37.0,Metro,Salaried,50787.0,8279.0,5928.0,0.117,716.0,2145080.0,346873.0,1798207.0,0.838,31.0,B,0.0,20.0,155.0,0.0,0.0,
Rahul Kapoor,45.0,Metro,,81142.0,8888.0,11308.0,0.139,792.0,18754285.0,2558383.0,16195902.0,0.864,22.0,B,0.0,15.0,11.0,1.0,,13.13
Mohit Kapoor,29.0,Urban,Salaried,66872.0,19223.0,12578.0,0.188,774.0,7680831.0,2185226.0,5495605.0,0.715,5.0,B,1.0,30.0,145.0,0.0,0.0,
