name,age,city_tier,employment_type,monthly_income,other_income,bank_avg_balance_6m,job_tenure_months,cibil_score,past_defaults,inquiries_6m,existing_emi,dti,loan_amount_requested,tenure_requested_months,insurer_present,co_applicant,loan_status,approved_amount,interest_rate,loan_type,vehicle_type,vehicle_price,down_payment,co_applicant_income,property_value,ltv,property_age,builder_grade,legal_issue_flag,tenure_years,academic_score,entrance_score,course_level,course_stream,institute_tier,country,parent_income,parent_existing_emi,parent_dti,parent_cibil,tuition_fee,living_expenses,moratorium_years,business_vintage_years,business_type,annual_revenue,net_profit_margin,cashflow_stability,owner_income,owner_cibil,existing_loan_emi,industry_risk,collateral_value,collateral_flag,requested_amount,loan_tenure_years
Priya Patel,34,Metro,Salaried,52451,18054,101180,51,695,0,1,4438,0.085,850042,36,1,0,1,660822,12.43,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neha Reddy,29,Metro,Self-Employed,42926,9333,51509,12,669,0,1,2285,0.053,617227,36,0,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Verma,44,Rural,Govt,54715,6741,132615,16,650,1,0,12321,0.225,459163,24,1,0,1,299424,14.98,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Yadav,25,Metro,Salaried,67845,27786,65647,81,693,0,0,16422,0.242,929962,12,1,0,1,734299,12.1,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Kapoor,27,Metro,Govt,41488,16583,54316,105,818,0,0,12328,0.297,534904,48,1,1,1,442841,11.72,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Jain,29,Rural,Salaried,41488,14411,64870,80,748,1,0,5136,0.124,412168,60,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Verma,36,Metro,Salaried,68688,9347,121511,20,676,0,0,7666,0.112,1090554,36,0,0,1,821529,12.47,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Gupta,25,Metro,Salaried,56512,16678,62504,55,744,0,1,13163,0.233,1110676,24,1,0,1,944692,11.69,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Reddy,33,Urban,Salaried,37958,6851,29876,23,794,0,1,3881,0.102,559739,36,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Singh,33,Metro,Govt,53138,2433,107687,25,765,0,1,14838,0.279,880871,48,1,0,1,687960,12.39,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Gupta,27,Urban,Salaried,38049,17451,46480,8,714,0,2,9799,0.258,335646,48,1,1,1,243577,13.14,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Khan,34,Rural,Salaried,38014,2601,74245,32,671,0,0,4892,0.129,494638,24,1,0,1,368727,12.55,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Verma,25,Metro,Salaried,48629,23105,43081,7,752,0,1,10954,0.225,456933,12,1,0,1,343296,12.69,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Khan,24,Urban,Salaried,16301,3635,27758,15,734,0,1,3690,0.226,250278,48,1,0,1,182797,12.9,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Kapoor,33,Urban,Self-Employed,19126,1770,35029,70,764,0,0,592,0.031,368401,36,1,0,1,274968,12.54,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Kapoor,20,Metro,Salaried,36566,9908,23020,8,748,0,1,9901,0.271,582911,24,0,1,1,418565,13.02,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Sharma,18,Urban,Salaried,29808,13010,39988,3,773,0,1,4518,0.152,265936,12,1,1,1,202297,12.59,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Gupta,36,Metro,Salaried,49714,18201,41563,3,678,0,1,12326,0.248,609295,36,1,0,1,490641,12.15,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Reddy,39,Urban,Salaried,31380,12655,20662,102,789,0,1,3013,0.096,458398,48,1,1,1,371223,12.1,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Verma,29,Metro,Salaried,23815,7844,70847,25,722,1,3,6398,0.269,305749,60,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Patel,27,Urban,Self-Employed,66985,23186,87475,19,835,0,0,7821,0.117,1205980,36,1,1,1,1054006,11.26,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Jain,39,Metro,Salaried,41613,17669,105060,60,669,0,0,135,0.003,739715,36,1,0,1,559797,12.43,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Singh,24,Rural,Self-Employed,46013,5744,52298,65,814,0,0,12498,0.272,705930,12,1,1,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Jain,22,Metro,Self-Employed,23629,5782,52073,15,722,0,0,647,0.027,294925,36,0,1,1,227487,12.29,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Khan,37,Metro,Self-Employed,36834,4074,88423,43,671,0,1,3528,0.096,407533,36,1,0,1,318070,12.4,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Yadav,32,Urban,Salaried,46664,23044,92819,53,681,0,0,13300,0.285,432598,36,1,0,1,308607,12.87,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Reddy,39,Urban,Salaried,27735,13092,46565,38,691,0,1,7910,0.285,339997,36,1,1,1,252662,12.77,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Jain,18,Urban,Salaried,50635,998,77451,6,735,0,1,8711,0.172,656132,24,1,1,1,515468,12.34,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Verma,22,Urban,Self-Employed,35990,12697,49384,75,741,0,1,6822,0.19,579794,12,1,0,1,445209,12.52,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kabir Yadav,32,Urban,Salaried,40625,18794,114718,28,676,0,0,5465,0.135,645853,36,0,0,1,458629,12.9,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meera Sharma,35,Rural,Salaried,35974,3248,92689,12,709,0,1,3164,0.088,318057,12,0,0,1,230611,12.95,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Patel,38,Metro,Salaried,72784,20669,211988,20,839,0,1,7176,0.099,927495,24,0,0,1,742899,12.19,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Khan,33,Urban,Salaried,44798,20506,36320,1,814,0,0,9038,0.202,456104,60,0,0,1,340458,12.54,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Singh,33,Rural,Salaried,29134,494,67800,5,736,0,1,6576,0.226,287895,36,1,0,1,226151,12.34,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Reddy,29,Rural,Salaried,57338,19994,163175,52,712,0,2,13616,0.237,1027934,36,1,1,1,894256,11.7,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Verma,43,Rural,Self-Employed,26687,3968,25435,1,717,0,1,6322,0.237,226919,48,1,0,1,167027,12.84,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Sharma,24,Metro,Salaried,48133,22247,32068,19,747,1,1,1317,0.027,627182,60,1,1,1,473993,14.14,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Verma,35,Metro,Salaried,15605,7577,36715,27,649,0,2,2315,0.148,156338,36,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Singh,25,Urban,Salaried,25077,11840,48554,2,695,1,1,433,0.017,465228,48,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiran Yadav,36,Urban,Salaried,47953,11370,124897,130,610,0,1,7905,0.165,704165,36,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Jain,25,Urban,Salaried,56077,24170,47634,9,734,0,2,7428,0.132,604318,36,1,0,1,461119,12.77,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Yadav,37,Urban,Self-Employed,47571,20088,118365,13,749,0,0,12669,0.266,667380,36,1,0,1,494830,12.59,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Jain,33,Rural,Salaried,43265,6903,43441,13,681,0,0,4555,0.105,725893,36,1,0,1,582926,11.97,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Reddy,44,Metro,Self-Employed,40483,16778,36805,9,804,0,0,1422,0.035,789314,36,1,0,1,624931,12.08,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Singh,30,Rural,Salaried,22822,422,20783,1,636,0,0,979,0.043,242948,36,1,0,1,176305,12.74,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Khan,35,Metro,Salaried,34202,10197,86751,47,622,0,2,7814,0.228,637326,24,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Patel,27,Metro,Self-Employed,38090,4381,82388,123,723,0,0,7064,0.185,731772,36,1,0,1,574046,12.16,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Sharma,30,Urban,Salaried,60857,3669,110009,9,773,0,2,1846,0.03,1156103,24,1,1,1,967750,12.03,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suresh Singh,33,Urban,Salaried,50154,1930,70069,39,811,0,2,1265,0.025,783655,36,1,1,1,644409,12.18,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Gupta,21,Metro,Salaried,18554,6459,49966,49,682,0,1,3902,0.21,288660,36,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Kapoor,22,Metro,Salaried,49861,8473,73850,68,775,0,0,1088,0.022,640142,48,1,0,1,510217,12.03,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Kapoor,36,Rural,Self-Employed,39224,14214,99688,20,708,0,3,9671,0.247,667937,48,1,0,1,482943,13.37,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaditya Gupta,31,Metro,Salaried,34846,1139,55678,13,700,0,1,7383,0.212,500930,48,1,1,1,408732,12.04,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivek Reddy,28,Urban,Self-Employed,54175,8540,78140,14,763,1,1,1322,0.024,873802,36,1,0,1,696633,13.73,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Gupta,27,Urban,Self-Employed,60465,16310,100172,45,749,0,2,1539,0.025,794600,48,1,0,1,612181,12.7,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shruti Verma,27,Urban,Salaried,58969,23314,73914,61,615,0,0,17454,0.296,989379,36,1,0,1,698123,12.94,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Gupta,33,Urban,Govt,32412,5166,76785,7,799,1,1,3639,0.112,579969,24,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Jain,35,Metro,Salaried,40362,12631,70908,17,793,0,0,4488,0.111,393822,12,1,0,1,297079,12.46,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarthak Yadav,18,Urban,Govt,49969,22136,53993,84,672,0,0,12184,0.244,899200,24,1,1,1,704218,12.17,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Patel,42,Metro,Salaried,59633,18363,163927,59,734,0,0,16946,0.284,863698,36,1,0,1,657829,12.38,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjali Patel,41,Urban,Self-Employed,37812,4404,55195,151,740,0,2,11185,0.296,685758,36,1,0,1,512998,12.92,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ritika Jain,18,Metro,Salaried,42215,515,78473,51,726,0,3,9541,0.226,556209,48,1,0,1,434658,12.79,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Gupta,40,Urban,Salaried,28405,12358,78573,18,677,0,2,3206,0.113,356440,24,1,0,0,0,,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Sharma,39,Metro,Salaried,27057,288,55754,32,670,0,0,678,0.025,513562,24,1,1,1,410254,12.01,Personal Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
